id,syncom,fresh_weight,shoot_weight,root_weight,first_leaf_weight,sample_weight,absorbance,sample_protein_content,leaf_protein_content,leaf_protein_content_2
1-1,CK1/CK22/F19/G7/KF11,3.205,2.427,0.778,0.163,0.105,0.636,0.7509548,1.1657679276190478,1.1657679276190478
1-2,CK1/CK22/F19/G7/KF11,3.105,2.333,0.7719999999999998,0.165,0.098,0.724,0.7992931999999999,1.3457487551020406,1.3457487551020406
1-3,CK1/CK22/F19/G7/KF11,1.89,1.39,0.5,0.105,0.105,0.7453,0.81099329,0.81099329,0.81099329
1-4,CK1/CK22/F19/G7/KF11,3.55,2.886,0.6639999999999997,0.126,0.099,0.7022,0.78731846,1.0020416763636364,1.0020416763636364
3-1,CK1/CK22/CMF9/CMF18/G5/KF11,4.466,3.219,1.2470000000000003,0.197,0.103,0.6461,0.75650273,1.446903279708738,1.446903279708738
3-2,CK1/CK22/CMF9/CMF18/G5/KF11,3.772,2.708,1.0639999999999996,0.157,0.097,0.6147,0.73925471,1.1965256646391753,1.1965256646391753
3-3,CK1/CK22/CMF9/CMF18/G5/KF11,2.839,1.959,0.8799999999999999,0.137,0.099,0.7488,0.8129158400000001,1.1249441422222224,1.1249441422222224
3-4,CK1/CK22/CMF9/CMF18/G5/KF11,2.7,1.885,0.8150000000000002,0.107,0.1,0.7435,0.81000455,0.8667048685,0.8667048685
5-1,CK1/CK22/D,1.872,1.295,0.5770000000000002,0.09300000000000001,0.093,0.6886,0.77984798,0.77984798,0.7798479800000002
5-2,CK1/CK22/D,3.836,2.946,0.8899999999999997,0.122,0.099,0.6359,0.75089987,0.9253513549494949,0.9253513549494949
5-3,CK1/CK22/D,2.654,1.948,0.706,0.181,0.096,0.5986,0.73041098,1.3771290352083334,1.3771290352083334
5-4,CK1/CK22/D,2.852,1.932,0.9199999999999999,0.132,0.105,0.7435,0.81000455,1.0182914342857146,1.0182914342857146
7-1,CK1/CMF9/F19/G7/D,3.005,2.286,0.7189999999999999,0.152,0.1,0.6846,0.77765078,1.1820291855999998,1.1820291855999998
