syncom_composition,syncom_id,rep,fresh_weight_total,fresh_weight_above,fresh_weight_below,fresh_weight_first_leaf
CK1/CK22/F19/G7/KF11,1,1,2.866,2.09,0.7760000000000002,0.184
CK1/CK22/F19/G7/KF11,1,2,2.38,1.744,0.6359999999999999,0.176
CK1/CK22/F19/G7/KF11,1,3,2.088,1.504,0.5840000000000001,0.134
CK1/CK22/F19/G7/KF11,1,4,2.424,1.776,0.6479999999999999,0.103
CK1/F19/G7/KF11,2,1,2.658,1.982,0.6759999999999999,0.164
CK1/F19/G7/KF11,2,2,3.092,2.275,0.8170000000000002,0.158
CK1/F19/G7/KF11,2,3,2.653,1.999,0.6539999999999999,0.15
CK1/F19/G7/KF11,2,4,2.772,2.111,0.6609999999999996,0.124
CK1/CK22/CMF9/CMF18/G5/KF11,3,1,2.005,1.593,0.4119999999999999,0.15
CK1/CK22/CMF9/CMF18/G5/KF11,3,2,3.61,2.718,0.8919999999999999,0.195
CK1/CK22/CMF9/CMF18/G5/KF11,3,3,3.055,2.255,0.8000000000000003,0.091
CK1/CK22/CMF9/CMF18/G5/KF11,3,4,1.889,1.461,0.42799999999999994,0.142
CK1/CK22/F19/G7/,4,1,2.618,1.88,0.738,0.172
CK1/CK22/F19/G7/,4,2,2.958,2.104,0.8540000000000001,0.208
CK1/CK22/F19/G7/,4,3,3.007,2.098,0.9090000000000003,0.172
CK1/CK22/F19/G7/,4,4,2.462,1.651,0.8110000000000002,0.112
CK1/CK22/,5,1,2.381,1.916,0.46499999999999986,0.105
CK1/CK22/,5,2,2.949,2.222,0.7269999999999999,0.119
CK1/CK22/,5,3,3.072,2.436,0.6360000000000001,0.118
CK1/CK22/,5,4,3.777,2.892,0.8850000000000002,0.157
CK1/CK22/CMF18/F19/G7/,6,1,2.931,2.168,0.7629999999999999,0.188
CK1/CK22/CMF18/F19/G7/,6,2,2.873,2.103,0.77,0.145
CK1/CK22/CMF18/F19/G7/,6,3,2.126,1.633,0.4929999999999999,0.141
CK1/CK22/CMF18/F19/G7/,6,4,2.671,1.902,0.7689999999999999,0.127
CK1/CMF9/F19/G7/,7,1,3.582,2.481,1.101,0.199
CK1/CMF9/F19/G7/,7,2,3.579,2.522,1.0570000000000004,0.174
CK1/CMF9/F19/G7/,7,3,3.006,2.054,0.952,0.172
CK1/CMF9/F19/G7/,7,4,2.92,2.064,0.8559999999999999,0.17
CK1/F19/G7/,8,1,3.446,2.274,1.1720000000000002,0.165
CK1/F19/G7/,8,2,1.771,1.095,0.6759999999999999,0.112
CK1/F19/G7/,8,3,2.15,1.443,0.7069999999999999,0.161
CK1/F19/G7/,8,4,2.606,1.763,0.843,0.126
CK1/CK22/CMF9/F19/G7/KF11,9,1,3.79,2.511,1.279,0.189
