syncom_id,syncom_composition,rep,protein_conc_g,protein_content
1,CK1/CK22/F19/G7/KF11,1,4.845740517955053,0.8916162553037298
1,CK1/CK22/F19/G7/KF11,2,4.535838377293716,0.798307554403694
1,CK1/CK22/F19/G7/KF11,3,6.760643694538417,0.905926255068148
1,CK1/CK22/F19/G7/KF11,4,5.644120325733152,0.5813443935505146
2,CK1/F19/G7/KF11,1,5.231875441183786,0.858027572354141
2,CK1/F19/G7/KF11,2,5.140729016633154,0.8122351846280383
2,CK1/F19/G7/KF11,3,8.844322757392385,1.3266484136088577
2,CK1/F19/G7/KF11,4,6.872174134190534,0.8521495926396262
3,CK1/CK22/CMF9/CMF18/G5/KF11,1,6.99283978517034,1.048925967775551
3,CK1/CK22/CMF9/CMF18/G5/KF11,2,4.698562969119849,0.9162197789783706
3,CK1/CK22/CMF9/CMF18/G5/KF11,3,3.302972603592053,0.3005705069268768
3,CK1/CK22/CMF9/CMF18/G5/KF11,4,7.713904833925178,1.0953744864173751
4,CK1/CK22/F19/G7/,1,7.358607539702882,1.2656804968288955
4,CK1/CK22/F19/G7/,2,8.28656186836815,1.7236048686205752
4,CK1/CK22/F19/G7/,3,5.168968227660124,0.8890625351575413
4,CK1/CK22/F19/G7/,4,3.972367188777042,0.4449051251430287
5,CK1/CK22/,1,6.467031630714673,0.6790383212250406
5,CK1/CK22/,2,6.155687723199319,0.7325268390607189
5,CK1/CK22/,3,5.053088770483438,0.5962644749170456
5,CK1/CK22/,4,6.200067157333718,0.9734105437013938
6,CK1/CK22/CMF18/F19/G7/,1,7.038469677854761,1.323232299436695
6,CK1/CK22/CMF18/F19/G7/,2,4.874876800736884,0.7068571361068482
6,CK1/CK22/CMF18/F19/G7/,3,6.757424921658652,0.9527969139538698
6,CK1/CK22/CMF18/F19/G7/,4,7.091354126199587,0.9006019740273475
7,CK1/CMF9/F19/G7/,1,7.409406737496123,1.4744719407617286
7,CK1/CMF9/F19/G7/,2,5.6202680052750384,0.9779266329178566
7,CK1/CMF9/F19/G7/,3,4.142975194429754,0.7125917334419176
7,CK1/CMF9/F19/G7/,4,12.298717580396328,2.0907819886673757
8,CK1/F19/G7/,1,4.421153098663206,0.7294902612794291
8,CK1/F19/G7/,2,5.17361215025,0.579444560828
8,CK1/F19/G7/,3,3.8519300712271174,0.620160741467566
8,CK1/F19/G7/,4,6.5698957751203855,0.8278068676651685
9,CK1/CK22/CMF9/F19/G7/KF11,1,4.803771806702301,0.9079128714667348
9,CK1/CK22/CMF9/F19/G7/KF11,2,5.640364142380988,1.1224324643338166
9,CK1/CK22/CMF9/F19/G7/KF11,3,5.0808547740719385,0.9450389879773805
9,CK1/CK22/CMF9/F19/G7/KF11,4,3.709562894640353,0.6640117581406232
10,CK1/CK22/CMF18/F19/KF11,1,4.186045945720448,0.7409301323925193
10,CK1/CK22/CMF18/F19/KF11,2,3.2728394697777885,0.5694740677413351
10,CK1/CK22/CMF18/F19/KF11,3,3.479140734583477,0.6714741617746111
10,CK1/CK22/CMF18/F19/KF11,4,7.198082280498431,1.3316452218922097
11,CK1/CMF9/G5/G7/,1,6.875944935783652,1.2995535928631101
