syncom_id,rep,shoot_len,syncom_composition
1,len_1,6.3,CK1/CK22/F19/G7/KF11
1,len_2,7.2,CK1/CK22/F19/G7/KF11
1,len_3,6,CK1/CK22/F19/G7/KF11
1,len_4,5.5,CK1/CK22/F19/G7/KF11
2,len_1,7,CK1/F19/G7/KF11
2,len_2,8.1,CK1/F19/G7/KF11
2,len_3,7.5,CK1/F19/G7/KF11
2,len_4,5.8,CK1/F19/G7/KF11
3,len_1,4.6,CK1/CK22/CMF9/CMF18/G5/KF11
3,len_2,5,CK1/CK22/CMF9/CMF18/G5/KF11
3,len_3,5.8,CK1/CK22/CMF9/CMF18/G5/KF11
3,len_4,5.5,CK1/CK22/CMF9/CMF18/G5/KF11
4,len_1,5.8,CK1/CK22/F19/G7/
4,len_2,6.4,CK1/CK22/F19/G7/
4,len_3,6.2,CK1/CK22/F19/G7/
4,len_4,7.8,CK1/CK22/F19/G7/
5,len_1,6.4,CK1/CK22/
5,len_2,6.8,CK1/CK22/
5,len_3,6.3,CK1/CK22/
5,len_4,6.5,CK1/CK22/
6,len_1,6.2,CK1/CK22/CMF18/F19/G7/
6,len_2,6,CK1/CK22/CMF18/F19/G7/
6,len_3,6.4,CK1/CK22/CMF18/F19/G7/
6,len_4,4.3,CK1/CK22/CMF18/F19/G7/
7,len_1,6.4,CK1/CMF9/F19/G7/
7,len_2,7.1,CK1/CMF9/F19/G7/
7,len_3,7,CK1/CMF9/F19/G7/
7,len_4,6.4,CK1/CMF9/F19/G7/
8,len_1,7,CK1/F19/G7/
8,len_2,5.3,CK1/F19/G7/
8,len_3,5.4,CK1/F19/G7/
8,len_4,5.3,CK1/F19/G7/
9,len_1,5.9,CK1/CK22/CMF9/F19/G7/KF11
9,len_2,6.2,CK1/CK22/CMF9/F19/G7/KF11
9,len_3,6.9,CK1/CK22/CMF9/F19/G7/KF11
9,len_4,6.8,CK1/CK22/CMF9/F19/G7/KF11
10,len_1,6.5,CK1/CK22/CMF18/F19/KF11
10,len_2,5.9,CK1/CK22/CMF18/F19/KF11
10,len_3,7.3,CK1/CK22/CMF18/F19/KF11
10,len_4,5,CK1/CK22/CMF18/F19/KF11
11,len_1,6.2,CK1/CMF9/G5/G7/
11,len_2,6.2,CK1/CMF9/G5/G7/
11,len_3,7.8,CK1/CMF9/G5/G7/
11,len_4,5.9,CK1/CMF9/G5/G7/
12,len_1,6.3,CK1/CMF9/CMF18/G7/KF11
12,len_2,5.9,CK1/CMF9/CMF18/G7/KF11
12,len_3,5.3,CK1/CMF9/CMF18/G7/KF11
12,len_4,5.4,CK1/CMF9/CMF18/G7/KF11
13,len_1,2,CK1/CK22/CMF18/KF11
13,len_2,6,CK1/CK22/CMF18/KF11
13,len_3,5,CK1/CK22/CMF18/KF11
13,len_4,6.6,CK1/CK22/CMF18/KF11
14,len_1,6.5,CK1/CK22/CMF18/G7/
14,len_2,7,CK1/CK22/CMF18/G7/
14,len_3,6.5,CK1/CK22/CMF18/G7/
14,len_4,NA,CK1/CK22/CMF18/G7/
15,len_1,6,CMF9/CMF18/
15,len_2,7.2,CMF9/CMF18/
15,len_3,7.1,CMF9/CMF18/
15,len_4,7.7,CMF9/CMF18/
16,len_1,6.6,CK1/CMF9/CMF18/G18/
16,len_2,6.3,CK1/CMF9/CMF18/G18/
16,len_3,6.8,CK1/CMF9/CMF18/G18/
16,len_4,7.5,CK1/CMF9/CMF18/G18/
17,len_1,6.8,CMF9/G5/G7/
17,len_2,6,CMF9/G5/G7/
17,len_3,6.5,CMF9/G5/G7/
17,len_4,6.7,CMF9/G5/G7/
18,len_1,6.4,CK22/F19/G7/
18,len_2,6.7,CK22/F19/G7/
18,len_3,5.5,CK22/F19/G7/
18,len_4,5.6,CK22/F19/G7/
19,len_1,6.8,CMF9/CMF18/G5/KF11
19,len_2,6.3,CMF9/CMF18/G5/KF11
19,len_3,6,CMF9/CMF18/G5/KF11
