syncom_id,syncom_composition
1,CK1/CK22/F19/G7/KF11
2,CK1/F19/G7/KF11
3,CK1/CK22/CMF9/CMF18/G5/KF11
4,CK1/CK22/F19/G7/
5,CK1/CK22/
6,CK1/CK22/CMF18/F19/G7/
7,CK1/CMF9/F19/G7/
8,CK1/F19/G7/
9,CK1/CK22/CMF9/F19/G7/KF11
10,CK1/CK22/CMF18/F19/KF11
11,CK1/CMF9/G5/G7/
12,CK1/CMF9/CMF18/G7/KF11
13,CK1/CK22/CMF18/KF11
14,CK1/CK22/CMF18/G7/
15,CMF9/CMF18/
16,CK1/CMF9/CMF18/G18/
17,CMF9/G5/G7/
18,CK22/F19/G7/
19,CMF9/CMF18/G5/KF11
20,CK1/CMF9/F19/G7/G18/KF11
21,CK1/CMF9/CMF18/F19/G5/KF11
22,CK1/CK22/G5/G18/
23,Blank
24,CK1/CMF9/CMF18/F19/G18/
25,CK1/CK22/CMF18/F19/G7/G18/KF11
26,CK1/G7/KF11
27,CK1/CK22/G7/KF11
28,CK1/CK22/CMF9/F19/G5/G7/G18/
29,CMF18/G5/G7/G18/
30,CMF9/G18/KF11
31,CMF9/G5/G18/
32,CK22/CMF18/F19/
33,CMF9/CMF18/F19/G7/G18/KF11
34,CK22/CMF9/F19/G7/G18/KF11
35,CK1/CMF9/CMF18/F19/G7/
36,CK22/CMF18/F19/G5/G7/KF11
37,CK22/F19/G5/G7/G18/KF11
38,CK22/CMF18/G18/KF11
39,CK22/G5/
40,CK1/CK22/F19/G5/KF11
41,CMF9/CMF18/F19/G5/G7/KF11
42,CMF18/F19/G7/KF11
43,CMF18/F19/G7/
44,CK1/CMF18/F19/G7/
45,CMF9/F19/G5/
