plate_id,well,base_medium,transformer,inoculation,time,absorbance
ZHP1,A1,SES,NJP10,blank,D1,0.1049
ZHP1,A1,SES,NJP10,blank,D2,0.1034
ZHP1,A1,SES,NJP10,blank,D3,0.1038
ZHP1,A1,SES,NJP10,blank,D4,0.1055
ZHP1,A1,SES,NJP10,blank,D5,0.1063
ZHP1,A1,SES,NJP10,blank,D6,0.1055
ZHP1,A1,SES,NJP10,blank,D7,0.1053
ZHP1,A1,SES,NJP10,blank,D8,0.1038
ZHP1,A2,SES,NJP10,blank,D1,0.104
ZHP1,A2,SES,NJP10,blank,D2,0.1045
ZHP1,A2,SES,NJP10,blank,D3,0.1047
ZHP1,A2,SES,NJP10,blank,D4,0.106
ZHP1,A2,SES,NJP10,blank,D5,0.1066
ZHP1,A2,SES,NJP10,blank,D6,0.1067
ZHP1,A2,SES,NJP10,blank,D7,0.1049
ZHP1,A2,SES,NJP10,blank,D8,0.1054
ZHP1,A3,SES,NJP10,NJP10,D1,0.1437
ZHP1,A3,SES,NJP10,NJP10,D2,0.1599
ZHP1,A3,SES,NJP10,NJP10,D3,0.1815
ZHP1,A3,SES,NJP10,NJP10,D4,0.1792
ZHP1,A3,SES,NJP10,NJP10,D5,0.1933
ZHP1,A3,SES,NJP10,NJP10,D6,0.204
ZHP1,A3,SES,NJP10,NJP10,D7,0.2197
ZHP1,A3,SES,NJP10,NJP10,D8,0.2352
ZHP1,A4,SES,NJP10,G7,D1,0.1058
ZHP1,A4,SES,NJP10,G7,D2,0.1095
ZHP1,A4,SES,NJP10,G7,D3,0.1106
ZHP1,A4,SES,NJP10,G7,D4,0.1088
ZHP1,A4,SES,NJP10,G7,D5,0.1089
ZHP1,A4,SES,NJP10,G7,D6,0.1068
ZHP1,A4,SES,NJP10,G7,D7,0.1077
ZHP1,A4,SES,NJP10,G7,D8,0.1088
ZHP1,A5,SES,NJP10,CMF9,D1,0.1011
ZHP1,A5,SES,NJP10,CMF9,D2,0.1021
ZHP1,A5,SES,NJP10,CMF9,D3,0.1046
ZHP1,A5,SES,NJP10,CMF9,D4,0.1044
ZHP1,A5,SES,NJP10,CMF9,D5,0.1017
ZHP1,A5,SES,NJP10,CMF9,D6,0.102
ZHP1,A5,SES,NJP10,CMF9,D7,0.1004
ZHP1,A5,SES,NJP10,CMF9,D8,0.1016
ZHP1,A6,SES,NJP10,KF19,D1,0.0967
ZHP1,A6,SES,NJP10,KF19,D2,0.099
ZHP1,A6,SES,NJP10,KF19,D3,0.1036
ZHP1,A6,SES,NJP10,KF19,D4,0.1028
ZHP1,A6,SES,NJP10,KF19,D5,0.1013
ZHP1,A6,SES,NJP10,KF19,D6,0.1009
ZHP1,A6,SES,NJP10,KF19,D7,0.1006
ZHP1,A6,SES,NJP10,KF19,D8,0.1029
ZHP1,A7,SES,NJP10,G7d8,D1,0.102
ZHP1,A7,SES,NJP10,G7d8,D2,0.1038
ZHP1,A7,SES,NJP10,G7d8,D3,0.105
ZHP1,A7,SES,NJP10,G7d8,D4,0.1048
ZHP1,A7,SES,NJP10,G7d8,D5,0.1031
ZHP1,A7,SES,NJP10,G7d8,D6,0.1025
ZHP1,A7,SES,NJP10,G7d8,D7,0.1029
ZHP1,A7,SES,NJP10,G7d8,D8,0.1041
ZHP1,A8,SES,NJP10,NJP01,D1,0.0987
ZHP1,A8,SES,NJP10,NJP01,D2,0.1
ZHP1,A8,SES,NJP10,NJP01,D3,0.1013
ZHP1,A8,SES,NJP10,NJP01,D4,0.1006
ZHP1,A8,SES,NJP10,NJP01,D5,0.1018
ZHP1,A8,SES,NJP10,NJP01,D6,0.1019
ZHP1,A8,SES,NJP10,NJP01,D7,0.1031
ZHP1,A8,SES,NJP10,NJP01,D8,0.1045
ZHP1,A9,SES,NJP10,CMF4,D1,0.1009
ZHP1,A9,SES,NJP10,CMF4,D2,0.1003
ZHP1,A9,SES,NJP10,CMF4,D3,0.1023
ZHP1,A9,SES,NJP10,CMF4,D4,0.1023
ZHP1,A9,SES,NJP10,CMF4,D5,0.102
