plate_id,well,base_medium,transformer,inoculation,time,absorbance
FWP1,A1,SES-T0,NJP10,blank,d1,0.1032
FWP1,A1,SES-T0,NJP10,blank,d2,0.1035
FWP1,A1,SES-T0,NJP10,blank,d3,0.1026
FWP1,A1,SES-T0,NJP10,blank,d4,0.1032
FWP1,A1,SES-T0,NJP10,blank,d5,0.1035
FWP1,A1,SES-T0,NJP10,blank,d6,0.1041
FWP1,A1,SES-T0,NJP10,blank,d7,0.1037
FWP1,A1,SES-T0,NJP10,blank,d8,0.1037
FWP1,A2,SES-T0,NJP10,blank,d1,0.1024
FWP1,A2,SES-T0,NJP10,blank,d2,0.1027
FWP1,A2,SES-T0,NJP10,blank,d3,0.1008
FWP1,A2,SES-T0,NJP10,blank,d4,0.1014
FWP1,A2,SES-T0,NJP10,blank,d5,0.1026
FWP1,A2,SES-T0,NJP10,blank,d6,0.1034
FWP1,A2,SES-T0,NJP10,blank,d7,0.1023
FWP1,A2,SES-T0,NJP10,blank,d8,0.1027
FWP1,A3,SES-T0,NJP10,NJP10,d1,0.0994
FWP1,A3,SES-T0,NJP10,NJP10,d2,0.1191
FWP1,A3,SES-T0,NJP10,NJP10,d3,0.3874
FWP1,A3,SES-T0,NJP10,NJP10,d4,0.6339
FWP1,A3,SES-T0,NJP10,NJP10,d5,0.7476
FWP1,A3,SES-T0,NJP10,NJP10,d6,0.6703
FWP1,A3,SES-T0,NJP10,NJP10,d7,0.6176
FWP1,A3,SES-T0,NJP10,NJP10,d8,0.3998
FWP1,A4,SES-T0,NJP10,G7,d1,0.1064
FWP1,A4,SES-T0,NJP10,G7,d2,0.107
FWP1,A4,SES-T0,NJP10,G7,d3,0.1149
FWP1,A4,SES-T0,NJP10,G7,d4,0.1101
FWP1,A4,SES-T0,NJP10,G7,d5,0.1118
FWP1,A4,SES-T0,NJP10,G7,d6,0.1128
FWP1,A4,SES-T0,NJP10,G7,d7,0.1137
FWP1,A4,SES-T0,NJP10,G7,d8,0.1167
FWP1,A5,SES-T0,NJP10,CMF9,d1,0.1057
FWP1,A5,SES-T0,NJP10,CMF9,d2,0.1097
FWP1,A5,SES-T0,NJP10,CMF9,d3,0.1328
FWP1,A5,SES-T0,NJP10,CMF9,d4,0.1105
FWP1,A5,SES-T0,NJP10,CMF9,d5,0.1536
FWP1,A5,SES-T0,NJP10,CMF9,d6,0.1119
FWP1,A5,SES-T0,NJP10,CMF9,d7,0.1099
FWP1,A5,SES-T0,NJP10,CMF9,d8,0.1108
FWP1,A6,SES-T0,NJP10,KF19,d1,0.1039
FWP1,A6,SES-T0,NJP10,KF19,d2,0.1069
FWP1,A6,SES-T0,NJP10,KF19,d3,0.1259
FWP1,A6,SES-T0,NJP10,KF19,d4,0.1039
FWP1,A6,SES-T0,NJP10,KF19,d5,0.2355
FWP1,A6,SES-T0,NJP10,KF19,d6,0.1823
FWP1,A6,SES-T0,NJP10,KF19,d7,0.1084
FWP1,A6,SES-T0,NJP10,KF19,d8,0.1083
FWP1,A7,SES-T0,NJP10,G7d8,d1,0.1006
FWP1,A7,SES-T0,NJP10,G7d8,d2,0.1027
FWP1,A7,SES-T0,NJP10,G7d8,d3,0.1342
FWP1,A7,SES-T0,NJP10,G7d8,d4,0.0981
FWP1,A7,SES-T0,NJP10,G7d8,d5,0.1834
FWP1,A7,SES-T0,NJP10,G7d8,d6,0.2302
FWP1,A7,SES-T0,NJP10,G7d8,d7,0.1027
FWP1,A7,SES-T0,NJP10,G7d8,d8,0.1018
FWP1,A8,SES-T0,NJP10,NJP01,d1,0.1092
FWP1,A8,SES-T0,NJP10,NJP01,d2,0.1097
FWP1,A8,SES-T0,NJP10,NJP01,d3,0.1474
FWP1,A8,SES-T0,NJP10,NJP01,d4,0.1182
FWP1,A8,SES-T0,NJP10,NJP01,d5,0.1159
FWP1,A8,SES-T0,NJP10,NJP01,d6,0.2003
FWP1,A8,SES-T0,NJP10,NJP01,d7,0.1101
FWP1,A8,SES-T0,NJP10,NJP01,d8,0.11
FWP1,A9,SES-T0,NJP10,CMF4,d1,0.0988
FWP1,A9,SES-T0,NJP10,CMF4,d2,0.099
FWP1,A9,SES-T0,NJP10,CMF4,d3,0.1469
FWP1,A9,SES-T0,NJP10,CMF4,d4,0.1189
FWP1,A9,SES-T0,NJP10,CMF4,d5,0.1016
FWP1,A9,SES-T0,NJP10,CMF4,d6,0.1022
FWP1,A9,SES-T0,NJP10,CMF4,d7,0.103
FWP1,A9,SES-T0,NJP10,CMF4,d8,0.106
FWP1,A10,SES-T0,NJP10,G2,d1,0.1011
FWP1,A10,SES-T0,NJP10,G2,d2,0.1001
FWP1,A10,SES-T0,NJP10,G2,d3,0.151
FWP1,A10,SES-T0,NJP10,G2,d4,0.1235
FWP1,A10,SES-T0,NJP10,G2,d5,0.1036
FWP1,A10,SES-T0,NJP10,G2,d6,0.1058
FWP1,A10,SES-T0,NJP10,G2,d7,0.1095
FWP1,A10,SES-T0,NJP10,G2,d8,0.1109
FWP1,A11,SES-T0,NJP10,NJP02,d1,0.1023
FWP1,A11,SES-T0,NJP10,NJP02,d2,0.0971
FWP1,A11,SES-T0,NJP10,NJP02,d3,0.1401
FWP1,A11,SES-T0,NJP10,NJP02,d4,0.1033
FWP1,A11,SES-T0,NJP10,NJP02,d5,0.1013
FWP1,A11,SES-T0,NJP10,NJP02,d6,0.1098
FWP1,A11,SES-T0,NJP10,NJP02,d7,0.1169
FWP1,A11,SES-T0,NJP10,NJP02,d8,0.116
FWP1,A12,SES-T0,NJP10,G7dB,d1,0.1062
FWP1,A12,SES-T0,NJP10,G7dB,d2,0.0991
FWP1,A12,SES-T0,NJP10,G7dB,d3,0.1327
FWP1,A12,SES-T0,NJP10,G7dB,d4,0.1009
FWP1,A12,SES-T0,NJP10,G7dB,d5,0.1055
FWP1,A12,SES-T0,NJP10,G7dB,d6,0.1276
FWP1,A12,SES-T0,NJP10,G7dB,d7,0.1273
